month,specialty,region,total_waiting,within_18_weeks,over_52_weeks,median_wait_weeks,pct_within_18_weeks
2020-04-01,Orthopaedics,London,1660,1025,197,19.1,61.7
2020-04-01,Orthopaedics,Midlands,1266,743,94,13.3,58.7
2020-04-01,Orthopaedics,North West,3719,3019,47,27.3,81.2
2020-04-01,Orthopaedics,North East,3233,1995,115,12.7,61.7
2020-04-01,Orthopaedics,South East,4917,2717,65,17.5,55.3
2020-04-01,Orthopaedics,South West,3358,2020,170,14.1,60.2
2020-04-01,Orthopaedics,East of England,989,577,95,14.4,58.3
2020-04-01,Cardiology,London,2067,1589,34,19.4,76.9
2020-04-01,Cardiology,Midlands,3688,2117,526,27.2,57.4
2020-04-01,Cardiology,North West,1041,721,12,11.1,69.3
2020-04-01,Cardiology,North East,2278,1767,288,9.8,77.6
2020-04-01,Cardiology,South East,3952,2551,406,12.9,64.5
2020-04-01,Cardiology,South West,4261,2671,381,6.7,62.7
2020-04-01,Cardiology,East of England,961,669,134,22.0,69.6
2020-04-01,Neurology,London,4142,2413,155,7.0,58.3
2020-04-01,Neurology,Midlands,1137,852,104,27.2,74.9
2020-04-01,Neurology,North West,1179,768,60,9.6,65.1
2020-04-01,Neurology,North East,3368,2814,127,6.1,83.6
2020-04-01,Neurology,South East,1191,976,140,7.6,81.9
2020-04-01,Neurology,South West,3078,2434,425,24.7,79.1
2020-04-01,Neurology,East of England,3904,2239,209,13.2,57.4
2020-04-01,Ophthalmology,London,3531,2774,473,16.4,78.6
2020-04-01,Ophthalmology,Midlands,3490,2901,309,23.0,83.1
2020-04-01,Ophthalmology,North West,1670,943,182,8.4,56.5
2020-04-01,Ophthalmology,North East,2284,1426,309,16.5,62.4
2020-04-01,Ophthalmology,South East,4991,4029,147,19.3,80.7
2020-04-01,Ophthalmology,South West,2478,2055,104,7.7,82.9
2020-04-01,Ophthalmology,East of England,2522,2035,336,19.7,80.7
2020-04-01,General Surgery,London,2397,1880,316,23.7,78.4
2020-04-01,General Surgery,Midlands,4427,3117,591,13.1,70.4
2020-04-01,General Surgery,North West,2838,2501,154,8.4,88.1
2020-04-01,General Surgery,North East,2106,1491,262,24.9,70.8
2020-04-01,General Surgery,South East,1509,1115,103,10.9,73.9
2020-04-01,General Surgery,South West,1463,1315,80,17.4,89.9
2020-04-01,General Surgery,East of England,4104,2870,78,11.6,69.9
2020-04-01,Urology,London,2091,1344,166,12.6,64.3
2020-04-01,Urology,Midlands,4496,4132,212,27.5,91.9
2020-04-01,Urology,North West,1654,1080,226,11.3,65.3
2020-04-01,Urology,North East,2507,1794,219,19.0,71.6
2020-04-01,Urology,South East,4310,3585,186,22.0,83.2
2020-04-01,Urology,South West,3127,2263,461,14.8,72.4
2020-04-01,Urology,East of England,4382,2556,556,13.1,58.3
2020-04-01,Gynaecology,London,4197,3388,546,13.2,80.7
2020-04-01,Gynaecology,Midlands,2169,1603,90,20.2,73.9
2020-04-01,Gynaecology,North West,2643,2373,173,17.4,89.8
2020-04-01,Gynaecology,North East,3719,2234,214,8.5,60.1
2020-04-01,Gynaecology,South East,4861,3924,204,9.8,80.7
2020-04-01,Gynaecology,South West,1423,1074,119,11.3,75.5
2020-04-01,Gynaecology,East of England,4523,3421,604,10.2,75.6
2020-04-01,ENT,London,3970,3212,510,24.8,80.9
2020-04-01,ENT,Midlands,3991,3505,515,26.6,87.8
2020-04-01,ENT,North West,2245,1790,204,14.2,79.7
2020-04-01,ENT,North East,898,817,44,12.7,91.0
2020-04-01,ENT,South East,4577,3689,463,10.9,80.6
2020-04-01,ENT,South West,960,534,75,9.9,55.6
2020-04-01,ENT,East of England,2327,1839,299,20.5,79.0
2020-04-01,Gastroenterology,London,3904,2930,317,20.0,75.1
2020-04-01,Gastroenterology,Midlands,1845,1181,269,14.6,64.0
2020-04-01,Gastroenterology,North West,3285,2908,232,13.7,88.5
2020-04-01,Gastroenterology,North East,1759,1529,74,17.0,86.9
2020-04-01,Gastroenterology,South East,3920,2219,585,16.3,56.6
2020-04-01,Gastroenterology,South West,1869,1660,115,6.3,88.8
2020-04-01,Gastroenterology,East of England,3127,2102,273,18.6,67.2
2020-04-01,Dermatology,London,1499,1297,76,14.5,86.5
2020-04-01,Dermatology,Midlands,1984,1323,66,18.2,66.7
2020-04-01,Dermatology,North West,1369,1224,27,10.6,89.4
2020-04-01,Dermatology,North East,4814,4411,142,17.4,91.6
2020-04-01,Dermatology,South East,2209,1478,284,9.0,66.9
2020-04-01,Dermatology,South West,3606,2543,165,19.5,70.5
2020-04-01,Dermatology,East of England,3750,2758,456,20.3,73.5
2020-05-01,Orthopaedics,London,3501,3078,200,14.3,87.9
2020-05-01,Orthopaedics,Midlands,3574,2854,199,9.4,79.9
2020-05-01,Orthopaedics,North West,4061,2664,376,6.7,65.6
2020-05-01,Orthopaedics,North East,2515,1419,131,17.8,56.4
2020-05-01,Orthopaedics,South East,3460,2571,407,10.7,74.3
2020-05-01,Orthopaedics,South West,804,578,102,10.3,71.9
2020-05-01,Orthopaedics,East of England,4942,3997,145,8.9,80.9
2020-05-01,Cardiology,London,1435,1168,22,14.8,81.4
2020-05-01,Cardiology,Midlands,4475,3693,201,10.1,82.5
2020-05-01,Cardiology,North West,3638,2577,387,7.3,70.8
2020-05-01,Cardiology,North East,1312,936,57,8.1,71.3
2020-05-01,Cardiology,South East,4472,3551,219,27.0,79.4
2020-05-01,Cardiology,South West,4870,3862,345,22.1,79.3
2020-05-01,Cardiology,East of England,3947,2997,127,8.6,75.9
